Race,City,State,Gender,Lat,Long,Time,Dist
Parkway,Leawood,KS,M,38.966673,-94.6169011,1:35:28 AM,8.6
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:35:30 AM,0
Parkway,Liberty,MO,F,39.2463496,-94.4189374,1:35:35 AM,13.6
Parkway,Olathe,KS,M,38.8843867,-94.8161126,1:35:38 AM,19.4
Parkway,Edmond,OK,M,35.6571367,-97.4649037,1:35:39 AM,285.2
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:35:44 AM,0
Parkway,Leawood,KS,M,38.966673,-94.6169011,1:35:47 AM,8.6
Parkway,Olathe,KS,M,38.8843867,-94.8161126,1:35:51 AM,19.4
Parkway,Prairie Village,KS,M,38.9914109,-94.6332767,1:35:51 AM,7.4
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:35:53 AM,0
Parkway,Kansas City,MO,F,39.0844687,-94.5630297,1:36:05 AM,0
Parkway,Raytown,MO,M,39.0086171,-94.4635637,1:36:09 AM,7.5
Parkway,Blue Springs,MO,M,39.01723,-94.2822094,1:36:09 AM,15.8
Parkway,Kansas City,MO,F,39.0844687,-94.5630297,1:36:13 AM,0
Parkway,Lincoln,NE,M,40.8000554,-96.6674004,1:36:14 AM,162.8
Parkway,Prairie Village,KS,M,38.9914109,-94.6332767,1:36:14 AM,7.4
Parkway,Saint Joseph,MO,F,39.7686055,-94.8466321,1:36:19 AM,49.6
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:36:21 AM,0
Parkway,Hiawatha,KS,F,39.8525033,-95.5358155,1:36:21 AM,74.2
Parkway,Overland Park,KS,F,38.9822282,-94.6707916,1:36:28 AM,9.1
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:36:30 AM,9.1
Parkway,Lees Summit,MO,M,38.9108408,-94.3821723,1:36:32 AM,15.4
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:36:35 AM,0
Parkway,Olathe,KS,M,38.8843867,-94.8161126,1:36:42 AM,19.4
Parkway,Hialeah,FL,M,25.8575963,-80.2781056,1:36:43 AM,1232.5
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:36:43 AM,0
Parkway,Gladstone,MO,M,39.2038918,-94.5546769,1:36:43 AM,8.3
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:36:50 AM,9.1
Parkway,Sedalia,MO,M,38.7044609,-93.2282612,1:36:51 AM,76.6
Parkway,Overland Park,KS,F,38.9822282,-94.6707916,1:36:55 AM,9.1
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:36:58 AM,0
Parkway,Lees Summit,MO,M,38.9108408,-94.3821723,1:37:00 AM,15.4
Parkway,Olathe,KS,M,38.8843867,-94.8161126,1:37:01 AM,19.4
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:37:01 AM,0
Parkway,Lees Summit,MO,M,38.9108408,-94.3821723,1:37:03 AM,15.4
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:37:03 AM,0
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:37:04 AM,0
Parkway,Basehor,KS,M,39.1416692,-94.9385762,1:37:06 AM,20.6
Parkway,Westwood,KS,F,39.0405608,-94.6169012,1:37:06 AM,4.2
Parkway,Greenwood,MO,M,40.9627758,-96.4411196,1:37:08 AM,163.4
Parkway,Lenexa,KS,M,38.9536174,-94.7335708,1:37:09 AM,12.9
Parkway,Blue Springs,MO,M,39.01723,-94.2822094,1:37:12 AM,15.8
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:37:16 AM,0
Parkway,Atchison,KS,M,39.545816,-95.3326051,1:37:20 AM,52.1
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:37:20 AM,0
Parkway,Lincoln,NE,F,40.8000554,-96.6674004,1:37:24 AM,162.8
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:37:38 AM,9.1
Parkway,Lees Summit,MO,M,38.9108408,-94.3821723,1:37:39 AM,15.4
Parkway,North Platte,NE,F,41.1238873,-100.7654231,1:37:39 AM,357.4
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:37:41 AM,0
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:37:42 AM,9.1
Parkway,Lee's Summit,MO,M,38.9108408,-94.3821723,1:37:45 AM,15.4
Parkway,Lees Summit,MO,M,38.9108408,-94.3821723,1:37:51 AM,15.4
Parkway,Shawnee,KS,F,39.0416718,-94.7202375,1:37:55 AM,9
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:38:02 AM,0
Parkway,Mission,KS,M,39.0277832,-94.6557913,1:38:02 AM,6.3
Parkway,Lenexa,KS,M,38.9536174,-94.7335708,1:38:05 AM,12.9
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:38:06 AM,0
Parkway,Maryville,MO,M,40.3461017,-94.8724706,1:38:09 AM,88.6
Parkway,Roeland Park,KS,M,39.0375053,-94.6321794,1:38:10 AM,4.9
Parkway,Overland Park,KS,F,38.9822282,-94.6707916,1:38:14 AM,9.1
Parkway,Wamego,KS,M,39.2019412,-96.3049975,1:38:14 AM,93.9
Parkway,Iola,KS,F,37.9244799,-95.3999813,1:38:16 AM,92
Parkway,Jacksonville,FL,M,30.3321838,-81.6556509,1:38:17 AM,949
Parkway,Gower,MO,M,39.6108304,-94.5994003,1:38:17 AM,36.4
Parkway,Kansas City,MO,F,39.0844687,-94.5630297,1:38:20 AM,0
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:38:20 AM,0
Parkway,Lenexa,KS,F,38.9536174,-94.7335708,1:38:22 AM,12.9
Parkway,Council Grove,KS,M,38.6611187,-96.4919472,1:38:23 AM,108
Parkway,Lees Summit,MO,M,38.9108408,-94.3821723,1:38:30 AM,15.4
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:38:31 AM,9.1
Parkway,Kansas City,KS,M,39.1146799,-94.7495245,1:38:32 AM,10.2
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:38:33 AM,0
Parkway,Wichita,KS,M,37.6922361,-97.3375447,1:38:35 AM,178.6
Parkway,Prairie Village,KS,M,38.9914109,-94.6332767,1:38:35 AM,7.4
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:38:38 AM,0
