Age Group Place,Chip Time
14 M 55-59,1:47:01 AM
43 M 45-49,1:47:03 AM
44 M 45-49,1:47:05 AM
43 F 30-34,1:47:06 AM
66 M 40-44,1:47:06 AM
86 M 30-34,1:47:06 AM
31 F 35-39,1:47:07 AM
104 M 35-39,1:47:11 AM
32 F 35-39,1:47:11 AM
15 M 55-59,1:47:12 AM
33 F 35-39,1:47:13 AM
1 F 55-59,1:47:13 AM
105 M 35-39,1:47:14 AM
34 F 35-39,1:47:15 AM
23 F 20-24,1:47:16 AM
9 F 40-44,1:47:16 AM
2 F 55-59,1:47:16 AM
63 M 25-29,1:47:16 AM
35 F 35-39,1:47:17 AM
42 F 25-29,1:47:17 AM
16 M 55-59,1:47:17 AM
43 F 25-29,1:47:18 AM
67 M 40-44,1:47:18 AM
44 F 25-29,1:47:18 AM
45 M 45-49,1:47:22 AM
36 F 35-39,1:47:23 AM
37 M 20-24,1:47:24 AM
38 M 20-24,1:47:24 AM
7 F 15-19,1:47:26 AM
9 F 50-54,1:47:27 AM
24 F 20-24,1:47:28 AM
2 F 60-64,1:47:32 AM
37 F 35-39,1:47:32 AM
87 M 30-34,1:47:33 AM
45 F 25-29,1:47:34 AM
7 F 45-49,1:47:34 AM
8 F 15-19,1:47:34 AM
88 M 30-34,1:47:36 AM
64 M 25-29,1:47:37 AM
89 M 30-34,1:47:40 AM
90 M 30-34,1:47:40 AM
65 M 25-29,1:47:41 AM
68 M 40-44,1:47:41 AM
38 F 35-39,1:47:42 AM
46 F 25-29,1:47:42 AM
69 M 40-44,1:47:42 AM
30 M 50-54,1:47:42 AM
66 M 25-29,1:47:43 AM
67 M 25-29,1:47:43 AM
91 M 30-34,1:47:44 AM
70 M 40-44,1:47:44 AM
68 M 25-29,1:47:44 AM
10 F 50-54,1:47:45 AM
8 F 45-49,1:47:45 AM
92 M 30-34,1:47:45 AM
106 M 35-39,1:47:47 AM
93 M 30-34,1:47:49 AM
39 F 35-39,1:47:50 AM
40 F 35-39,1:47:50 AM
47 F 25-29,1:47:51 AM
9 F 45-49,1:47:52 AM
11 F 50-54,1:47:52 AM
107 M 35-39,1:47:53 AM
108 M 35-39,1:47:56 AM
109 M 35-39,1:47:57 AM
46 M 45-49,1:47:57 AM
69 M 25-29,1:47:59 AM
70 M 25-29,1:47:59 AM
31 M 50-54,1:47:59 AM
44 F 30-34,1:47:59 AM
71 M 40-44,1:47:59 AM
41 F 35-39,1:48:00 AM
10 F 40-44,1:48:00 AM
45 F 30-34,1:48:01 AM
11 F 40-44,1:48:05 AM
48 F 25-29,1:48:06 AM
71 M 25-29,1:48:07 AM
94 M 30-34,1:48:08 AM
110 M 35-39,1:48:09 AM
111 M 35-39,1:48:09 AM
72 M 40-44,1:48:10 AM
42 F 35-39,1:48:13 AM
9 F 15-19,1:48:13 AM
46 F 30-34,1:48:13 AM
95 M 30-34,1:48:16 AM
32 M 50-54,1:48:16 AM
96 M 30-34,1:48:19 AM
12 F 40-44,1:48:19 AM
112 M 35-39,1:48:19 AM
97 M 30-34,1:48:23 AM
12 F 50-54,1:48:23 AM
49 F 25-29,1:48:23 AM
10 F 15-19,1:48:24 AM
113 M 35-39,1:48:25 AM
98 M 30-34,1:48:25 AM
99 M 30-34,1:48:28 AM
47 F 30-34,1:48:30 AM
13 F 40-44,1:48:31 AM
48 F 30-34,1:48:31 AM
13 F 50-54,1:48:32 AM
43 F 35-39,1:48:33 AM
17 M 55-59,1:48:36 AM
33 M 50-54,1:48:36 AM
73 M 40-44,1:48:36 AM
44 F 35-39,1:48:36 AM
114 M 35-39,1:48:36 AM
50 F 25-29,1:48:38 AM
100 M 30-34,1:48:38 AM
115 M 35-39,1:48:42 AM
49 F 30-34,1:48:42 AM
116 M 35-39,1:48:43 AM
74 M 40-44,1:48:43 AM
45 F 35-39,1:48:44 AM
51 F 25-29,1:48:47 AM
52 F 25-29,1:48:48 AM
34 M 50-54,1:48:50 AM
101 M 30-34,1:48:51 AM
117 M 35-39,1:48:51 AM
118 M 35-39,1:48:51 AM
119 M 35-39,1:48:51 AM
10 F 45-49,1:48:52 AM
14 F 40-44,1:48:52 AM
15 F 40-44,1:48:53 AM
50 F 30-34,1:48:59 AM
25 F 20-24,1:48:59 AM
46 F 35-39,1:49:00 AM
102 M 30-34,1:49:00 AM
103 M 30-34,1:49:01 AM
72 M 25-29,1:49:01 AM
104 M 30-34,1:49:02 AM
35 M 50-54,1:49:02 AM
105 M 30-34,1:49:03 AM
106 M 30-34,1:49:04 AM
26 F 20-24,1:49:07 AM
107 M 30-34,1:49:08 AM
73 M 25-29,1:49:09 AM
39 M 20-24,1:49:11 AM
51 F 30-34,1:49:12 AM
16 F 40-44,1:49:12 AM
52 F 30-34,1:49:13 AM
47 M 45-49,1:49:13 AM
53 F 30-34,1:49:13 AM
47 F 35-39,1:49:14 AM
27 F 20-24,1:49:14 AM
108 M 30-34,1:49:14 AM
54 F 30-34,1:49:14 AM
40 M 20-24,1:49:17 AM
74 M 25-29,1:49:17 AM
7 M 60-64,1:49:18 AM
109 M 30-34,1:49:20 AM
48 M 45-49,1:49:22 AM
8 M 60-64,1:49:23 AM
53 F 25-29,1:49:25 AM
9 M 60-64,1:49:26 AM
36 M 50-54,1:49:29 AM
28 F 20-24,1:49:29 AM
29 F 20-24,1:49:31 AM
,1:49:32 AM
110 M 30-34,1:49:33 AM
111 M 30-34,1:49:34 AM
55 F 30-34,1:49:34 AM
41 M 20-24,1:49:35 AM
42 M 20-24,1:49:35 AM
112 M 30-34,1:49:37 AM
17 F 40-44,1:49:37 AM
43 M 20-24,1:49:38 AM
18 F 40-44,1:49:39 AM
30 F 20-24,1:49:40 AM
56 F 30-34,1:49:40 AM
49 M 45-49,1:49:41 AM
75 M 40-44,1:49:41 AM
75 M 25-29,1:49:41 AM
57 F 30-34,1:49:41 AM
18 M 55-59,1:49:44 AM
54 F 25-29,1:49:44 AM
19 F 40-44,1:49:48 AM
20 F 40-44,1:49:49 AM
11 F 15-19,1:49:49 AM
3 F 55-59,1:49:53 AM
48 F 35-39,1:49:53 AM
120 M 35-39,1:49:54 AM
121 M 35-39,1:49:56 AM
55 F 25-29,1:49:57 AM
56 F 25-29,1:49:57 AM
76 M 25-29,1:49:58 AM
57 F 25-29,1:49:59 AM
50 M 45-49,1:50:00 AM
51 M 45-49,1:50:04 AM
19 M 55-59,1:50:06 AM
21 F 40-44,1:50:08 AM
58 F 25-29,1:50:08 AM
76 M 40-44,1:50:13 AM
11 F 45-49,1:50:16 AM
