Age Group Place,Chip Time
58 F 35-39,2:08:36 AM
45 F 30-34,2:08:37 AM
41 F 40-44,2:08:38 AM
54 M 30-34,2:08:38 AM
46 F 30-34,2:08:39 AM
32 M 25-29,2:08:44 AM
47 F 30-34,2:08:46 AM
27 F 45-49,2:08:47 AM
23 F 50-54,2:08:50 AM
13 F 20-24,2:08:50 AM
59 F 35-39,2:08:54 AM
28 F 45-49,2:08:59 AM
59 M 40-44,2:09:05 AM
59 M 35-39,2:09:06 AM
48 F 30-34,2:09:07 AM
24 M 50-54,2:09:12 AM
60 F 35-39,2:09:12 AM
43 F 25-29,2:09:12 AM
55 M 30-34,2:09:14 AM
49 F 30-34,2:09:14 AM
42 F 40-44,2:09:17 AM
43 F 40-44,2:09:17 AM
50 F 30-34,2:09:19 AM
56 M 30-34,2:09:19 AM
44 F 25-29,2:09:23 AM
45 F 25-29,2:09:25 AM
61 F 35-39,2:09:28 AM
24 F 50-54,2:09:31 AM
29 F 45-49,2:09:32 AM
51 F 30-34,2:09:32 AM
52 F 30-34,2:09:37 AM
60 M 35-39,2:09:38 AM
14 F 20-24,2:09:38 AM
60 M 40-44,2:09:39 AM
30 F 45-49,2:09:39 AM
14 M 55-59,2:09:39 AM
31 F 45-49,2:09:40 AM
25 M 50-54,2:09:42 AM
33 M 25-29,2:09:43 AM
32 F 45-49,2:09:43 AM
48 M 45-49,2:09:46 AM
46 F 25-29,2:09:51 AM
7 M 60-64,2:09:52 AM
8 M 60-64,2:09:53 AM
33 F 45-49,2:09:55 AM
57 M 30-34,2:09:55 AM
44 F 40-44,2:09:56 AM
61 M 35-39,2:10:00 AM
15 F 20-24,2:10:03 AM
47 F 25-29,2:10:03 AM
7 M 15-19,2:10:05 AM
62 M 35-39,2:10:06 AM
62 F 35-39,2:10:09 AM
6 F 15-19,2:10:10 AM
9 M 20-24,2:10:15 AM
63 F 35-39,2:10:15 AM
9 M 60-64,2:10:18 AM
48 F 25-29,2:10:19 AM
45 F 40-44,2:10:19 AM
46 F 40-44,2:10:19 AM
3 F 60-64,2:10:20 AM
34 F 45-49,2:10:20 AM
34 M 25-29,2:10:21 AM
49 F 25-29,2:10:24 AM
49 M 45-49,2:10:51 AM
58 M 30-34,2:11:03 AM
53 F 30-34,2:11:05 AM
64 F 35-39,2:11:07 AM
16 F 20-24,2:11:11 AM
47 F 40-44,2:11:11 AM
35 F 45-49,2:11:11 AM
54 F 30-34,2:11:11 AM
50 F 25-29,2:11:12 AM
48 F 40-44,2:11:15 AM
36 F 45-49,2:11:15 AM
63 M 35-39,2:11:23 AM
4 F 55-59,2:11:26 AM
49 F 40-44,2:11:27 AM
6 M 65-69,2:11:28 AM
61 M 40-44,2:11:34 AM
50 F 40-44,2:11:34 AM
37 F 45-49,2:11:38 AM
65 F 35-39,2:11:38 AM
55 F 30-34,2:11:41 AM
59 M 30-34,2:11:42 AM
26 M 50-54,2:11:45 AM
38 F 45-49,2:11:45 AM
7 F 15-19,2:11:48 AM
56 F 30-34,2:11:52 AM
51 F 40-44,2:12:11 AM
39 F 45-49,2:12:15 AM
51 F 25-29,2:12:19 AM
66 F 35-39,2:12:25 AM
52 F 40-44,2:12:30 AM
67 F 35-39,2:12:37 AM
15 M 55-59,2:12:38 AM
25 F 50-54,2:12:44 AM
52 F 25-29,2:12:49 AM
53 F 40-44,2:12:51 AM
68 F 35-39,2:12:54 AM
10 M 60-64,2:12:55 AM
57 F 30-34,2:13:00 AM
69 F 35-39,2:13:01 AM
5 F 55-59,2:13:06 AM
40 F 45-49,2:13:06 AM
58 F 30-34,2:13:09 AM
54 F 40-44,2:13:10 AM
59 F 30-34,2:13:12 AM
62 M 40-44,2:13:13 AM
4 F 60-64,2:13:14 AM
26 F 50-54,2:13:15 AM
53 F 25-29,2:13:18 AM
50 M 45-49,2:13:25 AM
54 F 25-29,2:13:31 AM
27 F 50-54,2:13:32 AM
70 F 35-39,2:13:33 AM
71 F 35-39,2:13:34 AM
51 M 45-49,2:13:35 AM
52 M 45-49,2:13:35 AM
60 F 30-34,2:13:41 AM
53 M 45-49,2:13:46 AM
54 M 45-49,2:13:47 AM
55 F 40-44,2:13:48 AM
61 F 30-34,2:13:53 AM
62 F 30-34,2:13:54 AM
41 F 45-49,2:13:57 AM
63 F 30-34,2:13:57 AM
55 M 45-49,2:13:59 AM
27 M 50-54,2:14:00 AM
64 F 30-34,2:14:02 AM
56 F 40-44,2:14:07 AM
17 F 20-24,2:14:07 AM
72 F 35-39,2:14:08 AM
28 M 50-54,2:14:09 AM
73 F 35-39,2:14:10 AM
57 F 40-44,2:14:14 AM
58 F 40-44,2:14:15 AM
74 F 35-39,2:14:15 AM
75 F 35-39,2:14:15 AM
65 F 30-34,2:14:19 AM
76 F 35-39,2:14:31 AM
55 F 25-29,2:14:31 AM
64 M 35-39,2:14:31 AM
59 F 40-44,2:14:32 AM
65 M 35-39,2:14:33 AM
66 F 30-34,2:14:33 AM
77 F 35-39,2:14:34 AM
16 M 55-59,2:14:36 AM
56 M 45-49,2:14:38 AM
67 F 30-34,2:14:44 AM
29 M 50-54,2:14:44 AM
60 F 40-44,2:14:50 AM
28 F 50-54,2:14:51 AM
63 M 40-44,2:14:55 AM
64 M 40-44,2:14:55 AM
65 M 40-44,2:14:59 AM
57 M 45-49,2:15:03 AM
61 F 40-44,2:15:05 AM
29 F 50-54,2:15:06 AM
66 M 40-44,2:15:13 AM
30 M 50-54,2:15:20 AM
78 F 35-39,2:15:30 AM
62 F 40-44,2:15:32 AM
42 F 45-49,2:15:33 AM
43 F 45-49,2:15:37 AM
17 M 55-59,2:15:46 AM
44 F 45-49,2:15:52 AM
67 M 40-44,2:15:54 AM
56 F 25-29,2:15:56 AM
79 F 35-39,2:15:59 AM
57 F 25-29,2:16:01 AM
68 F 30-34,2:16:02 AM
30 F 50-54,2:16:13 AM
68 M 40-44,2:16:16 AM
69 F 30-34,2:16:17 AM
45 F 45-49,2:16:18 AM
80 F 35-39,2:16:19 AM
70 F 30-34,2:16:27 AM
31 M 50-54,2:16:35 AM
46 F 45-49,2:16:37 AM
7 M 65-69,2:16:39 AM
47 F 45-49,2:16:41 AM
63 F 40-44,2:16:45 AM
64 F 40-44,2:16:47 AM
32 M 50-54,2:16:48 AM
81 F 35-39,2:16:55 AM
58 F 25-29,2:16:55 AM
60 M 30-34,2:16:56 AM
82 F 35-39,2:16:59 AM
61 M 30-34,2:17:02 AM
59 F 25-29,2:17:05 AM
18 F 20-24,2:17:05 AM
83 F 35-39,2:17:06 AM
65 F 40-44,2:17:08 AM
58 M 45-49,2:17:11 AM
48 F 45-49,2:17:15 AM
66 F 40-44,2:17:15 AM
71 F 30-34,2:17:19 AM
31 F 50-54,2:17:23 AM
72 F 30-34,2:17:23 AM
60 F 25-29,2:17:28 AM
62 M 30-34,2:17:30 AM
19 F 20-24,2:17:36 AM
69 M 40-44,2:17:38 AM
18 M 55-59,2:17:45 AM
6 F 55-59,2:17:52 AM
73 F 30-34,2:17:55 AM
67 F 40-44,2:17:57 AM
84 F 35-39,2:18:01 AM
32 F 50-54,2:18:08 AM
5 F 60-64,2:18:09 AM
49 F 45-49,2:18:09 AM
33 F 50-54,2:18:11 AM
50 F 45-49,2:18:18 AM
68 F 40-44,2:18:19 AM
74 F 30-34,2:18:32 AM
85 F 35-39,2:18:38 AM
59 M 45-49,2:18:42 AM
75 F 30-34,2:18:43 AM
19 M 55-59,2:18:48 AM
66 M 35-39,2:18:49 AM
60 M 45-49,2:18:55 AM
33 M 50-54,2:18:57 AM
69 F 40-44,2:19:03 AM
34 F 50-54,2:19:03 AM
61 F 25-29,2:19:03 AM
62 F 25-29,2:19:06 AM
86 F 35-39,2:19:08 AM
63 M 30-34,2:19:11 AM
7 F 55-59,2:19:17 AM
61 M 45-49,2:19:17 AM
87 F 35-39,2:19:19 AM
63 F 25-29,2:19:20 AM
6 F 60-64,2:19:23 AM
8 F 55-59,2:19:24 AM
64 F 25-29,2:19:26 AM
70 F 40-44,2:19:26 AM
76 F 30-34,2:19:31 AM
77 F 30-34,2:19:32 AM
70 M 40-44,2:19:34 AM
35 F 50-54,2:19:34 AM
78 F 30-34,2:19:35 AM
9 F 55-59,2:19:36 AM
79 F 30-34,2:19:38 AM
51 F 45-49,2:19:41 AM
88 F 35-39,2:19:42 AM
52 F 45-49,2:19:42 AM
89 F 35-39,2:19:43 AM
80 F 30-34,2:19:44 AM
36 F 50-54,2:19:44 AM
53 F 45-49,2:19:49 AM
