DIVISION,TIME
M5054,2:24:11
F4044,2:24:13
M3034,2:24:15
F2529,2:24:16
F2529,2:24:16
F2529,2:24:16
F3539,2:24:19
F3034,2:24:21
F2529,2:24:22
M5054,2:24:25
F1924,2:24:26
F3034,2:24:27
F4549,2:24:32
F4549,2:24:33
F3034,2:24:34
F4044,2:24:34
M3539,2:24:36
F3034,2:24:37
F4549,2:24:37
F3539,2:24:40
F4549,2:24:40
M5054,2:24:40
F????,2:24:51
M4044,2:24:54
F3034,2:24:54
F3034,2:24:56
M3034,2:25:00
F5054,2:25:06
M5054,2:25:09
M2529,2:25:09
F3539,2:25:10
M3034,2:25:10
F4044,2:25:12
F1924,2:25:12
F1924,2:25:13
M5559,2:25:13
F3539,2:25:19
M3539,2:25:20
F3539,2:25:20
F4549,2:25:22
PACER,2:25:22
F2529,2:25:25
F4549,2:25:28
F2529,2:25:31
M3539,2:25:31
F3034,2:25:33
F4549,2:25:34
M3034,2:25:36
F3539,2:25:39
F5559,2:25:40
PACER,2:25:40
M4044,2:25:45
F3539,2:25:47
F3034,2:25:51
F3539,2:25:51
F4044,2:25:54
F1924,2:25:54
F4044,2:25:56
F2529,2:25:58
F5559,2:25:59
F4549,2:25:59
M6064,2:26:11
F3034,2:26:16
F4044,2:26:17
F3539,2:26:30
F3539,2:26:30
F4044,2:26:31
F2529,2:26:35
F3539,2:26:35
F3539,2:26:35
F3034,2:26:44
F3034,2:26:47
F2529,2:26:48
F3539,2:26:50
M6064,2:26:52
F3034,2:26:57
F1924,2:26:57
F3539,2:26:58
F3539,2:27:08
F3539,2:27:10
F2529,2:27:10
F4044,2:27:12
F1924,2:27:21
M6064,2:27:21
F2529,2:27:21
F2529,2:27:21
M4549,2:27:33
F1924,2:27:34
F3034,2:27:34
M6569,2:27:45
F1924,2:27:46
F6064,2:27:57
M5559,2:28:00
M5054,2:28:08
F1924,2:28:09
F5559,2:28:10
F1924,2:28:15
F1924,2:28:18
F1924,2:28:19
F2529,2:28:20
F4549,2:28:21
F5054,2:28:22
F4549,2:28:23
F3539,2:28:24
F4044,2:28:34
F3539,2:28:34
F3539,2:28:39
M4044,2:28:39
F3034,2:28:39
F1924,2:28:39
F3034,2:28:40
F5054,2:28:41
F1924,2:28:41
F3034,2:28:42
F18UN,2:28:43
F3034,2:28:45
F2529,2:28:47
F1924,2:28:54
F3034,2:28:54
F3034,2:28:55
F4549,2:28:56
F3539,2:28:58
F5054,2:29:00
M18UN,2:29:06
F2529,2:29:20
F4549,2:29:20
F3034,2:29:21
F3539,2:29:22
PACER,2:29:23
F1924,2:29:27
M4549,2:29:27
F1924,2:29:29
M2529,2:29:34
F5559,2:29:35
M5054,2:29:35
F3034,2:29:51
F3539,2:29:52
F3539,2:29:54
PACER,2:29:55
F3034,2:29:56
M3539,2:30:00
M5559,2:30:15
F3539,2:30:26
F70UP,2:30:31
M5559,2:30:38
F3539,2:30:40
F3539,2:30:45
F3539,2:30:45
F3034,2:30:45
F5559,2:30:47
F3539,2:30:49
F3539,2:30:50
F5054,2:30:50
