Age Group Place,Chip Time
59 F 30-34,8:35:48 AM
71 F 35-39,8:36:20 AM
43 M 40-44,8:37:05 AM
49 F 45-49,8:37:55 AM
31 F 50-54,8:41:21 AM
50 F 40-44,8:42:54 AM
22 M 25-29,8:44:08 AM
23 M 25-29,8:44:33 AM
60 F 30-34,8:47:24 AM
51 F 40-44,8:48:32 AM
46 F 25-29,8:48:35 AM
32 F 50-54,8:51:45 AM
72 F 35-39,8:51:47 AM
50 F 45-49,8:55:00 AM
43 M 35-39,8:56:10 AM
44 M 40-44,8:56:11 AM
73 F 35-39,8:57:51 AM
8 M 55-59,8:57:55 AM
74 F 35-39,8:59:41 AM
33 F 50-54,9:00:14 AM
45 M 40-44,9:01:05 AM
52 F 40-44,9:03:00 AM
25 M 50-54,9:05:34 AM
53 F 40-44,9:06:10 AM
54 F 40-44,9:09:23 AM
51 F 45-49,9:11:42 AM
47 F 25-29,9:12:25 AM
61 F 30-34,9:15:49 AM
34 F 50-54,9:17:26 AM
62 F 30-34,9:22:51 AM
26 M 50-54,9:24:11 AM
48 F 25-29,9:24:31 AM
35 F 50-54,9:24:42 AM
63 F 30-34,9:28:08 AM
9 M 55-59,9:33:28 AM
49 F 25-29,9:34:35 AM
75 F 35-39,9:34:35 AM
38 M 30-34,9:35:03 AM
52 F 45-49,9:35:07 AM
76 F 35-39,9:38:50 AM
1 F 75-79,9:44:19 AM
77 F 35-39,9:45:16 AM
39 M 30-34,9:45:21 AM
55 F 40-44,9:45:56 AM
10 M 55-59,9:51:07 AM
64 F 30-34,9:51:19 AM
44 M 35-39,9:51:58 AM
2 F 70-74,9:54:35 AM
56 F 40-44,9:54:41 AM
50 F 25-29,10:06:08 AM
51 F 25-29,10:27:03 AM
36 F 50-54,10:31:53 AM
78 F 35-39,10:39:47 AM
53 F 45-49,10:41:09 AM
54 F 45-49,10:50:13 AM
55 F 45-49,11:04:18 AM
56 F 45-49,11:04:22 AM
37 F 50-54,11:18:02 AM
